id,city,state,2016_estimate,2010,2016 area,density,location
80,Laredo, Texas,"257,156","236,091",261.8 km2,982/km2,27.5604°N 99.4892°W
81,Buffalo, New York,"256,902","261,310",104.6 km2,"2,455/km2",42.8925°N 78.8597°W
82,Madison, Wisconsin,"252,551","233,209",199.4 km2,"1,270/km2",43.0878°N 89.4299°W
83,Lubbock, Texas,"252,506","229,573",322.7 km2,783/km2,33.5656°N 101.8867°W
84,Chandler, Arizona,"247,477","236,123",168.1 km2,"1,472/km2",33.2829°N 111.8549°W
85,Scottsdale, Arizona,"246,645","217,385",476.3 km2,518/km2,33.6843°N 111.8611°W
86,Glendale, Arizona,"245,895","226,721",153.1 km2,"1,607/km2",33.5331°N 112.1899°W
87,Reno, Nevada,"245,255","225,221",277.9 km2,883/km2,39.5491°N 119.8499°W
88,Norfolk[16], Virginia,"245,115","242,803",138.0 km2,"1,776/km2",36.9230°N 76.2446°W
89,Winston–Salem, North Carolina,"242,203","229,617",343.2 km2,706/km2,36.1027°N 80.2610°W
90,North Las Vegas, Nevada,"238,702","216,961",253.8 km2,941/km2,36.2857°N 115.0939°W
91,Irving, Texas,"238,289","216,290",173.5 km2,"1,373/km2",32.8577°N 96.9700°W
92,Chesapeake[16], Virginia,"237,940","222,209",876.7 km2,271/km2,36.6794°N 76.3018°W
93,Gilbert[20], Arizona,"237,133","208,453",176.1 km2,"1,346/km2",33.3103°N 111.7431°W
94,Hialeah, Florida,"236,387","224,669",55.7 km2,"4,245/km2",25.8699°N 80.3029°W
95,Garland, Texas,"234,943","226,876",147.6 km2,"1,592/km2",32.9098°N 96.6303°W
96,Fremont, California,"233,136","214,089",200.7 km2,"1,161/km2",37.4945°N 121.9412°W
97,Baton Rouge[21], Louisiana,"227,715","229,493",222.5 km2,"1,024/km2",30.4422°N 91.1309°W
98,Richmond[16], Virginia,"223,170","204,214",154.9 km2,"1,441/km2",37.5314°N 77.4760°W
99,Boise[22], Idaho,"223,154","205,671",212.6 km2,"1,049/km2",43.6002°N 116.2317°W
100,San Bernardino, California,"216,239","209,924",159.3 km2,"1,358/km2",34.1416°N 117.2936°W
101,Spokane, Washington,"215,973","208,916",177.9 km2,"1,214/km2",47.6669°N 117.4333°W
102,Des Moines, Iowa,"215,472","203,433",230.2 km2,936/km2,41.5726°N 93.6102°W
103,Modesto, California,"212,175","201,165",111.4 km2,"1,905/km2",37.6375°N 121.0030°W
104,Birmingham, Alabama,"212,157","212,237",378.4 km2,561/km2,33.5274°N 86.7990°W
105,Tacoma, Washington,"211,277","198,397",128.7 km2,"1,641/km2",47.2522°N 122.4598°W
106,Fontana, California,"209,665","196,069",111.4 km2,"1,883/km2",34.1090°N 117.4629°W
107,Rochester, New York,"208,880","210,565",92.7 km2,"2,253/km2",43.1699°N 77.6169°W
108,Oxnard, California,"207,906","197,899",69.7 km2,"2,984/km2",34.2023°N 119.2046°W
109,Moreno Valley, California,"205,499","193,365",132.9 km2,"1,547/km2",33.9233°N 117.2057°W
110,Fayetteville, North Carolina,"204,759","200,564",382.5 km2,535/km2,35.0828°N 78.9735°W
111,Aurora, Illinois,"201,110","197,899",116.3 km2,"1,729/km2",41.7635°N 88.2901°W
112,Glendale, California,"200,831","191,719",78.7 km2,"2,551/km2",34.1814°N 118.2458°W
113,Yonkers, New York,"200,807","195,976",46.6 km2,"4,307/km2",40.9459°N 73.8674°W
114,Huntington Beach, California,"200,652","189,992",69.7 km2,"2,880/km2",33.6906°N 118.0093°W
115,Montgomery, Alabama,"200,022","205,764",413.9 km2,483/km2,32.3472°N 86.2661°W
116,Amarillo, Texas,"199,582","190,695",262.6 km2,760/km2,35.1999°N 101.8302°W
117,Little Rock, Arkansas,"198,541","193,524",307.4 km2,646/km2,34.7254°N 92.3586°W
118,Akron, Ohio,"197,633","199,110",160.6 km2,"1,231/km2",41.0805°N 81.5214°W
119,Columbus[23], Georgia,"197,485","189,885",560.5 km2,353/km2,32.5102°N 84.8749°W
120,Augusta[24], Georgia,"197,081","195,844",783.5 km2,252/km2,33.3655°N 82.0734°W
121,Grand Rapids, Michigan,"196,445","188,040",115.0 km2,"1,708/km2",42.9612°N 85.6556°W
122,Shreveport, Louisiana,"194,920","199,311",277.4 km2,700/km2,32.4669°N 93.7922°W
123,Salt Lake City, Utah,"193,744","186,440",288.0 km2,673/km2,40.7769°N 111.9310°W
124,Huntsville, Alabama,"193,079","180,105",552.7 km2,349/km2,34.6990°N 86.6730°W
125,Mobile, Alabama,"192,904","195,111",361.0 km2,534/km2,30.6684°N 88.1002°W
126,Tallahassee, Florida,"190,894","181,376",260.0 km2,734/km2,30.4551°N 84.2534°W
127,Grand Prairie, Texas,"190,682","175,396",187.3 km2,"1,018/km2",32.6869°N 97.0211°W
128,Overland Park, Kansas,"188,966","173,372",194.5 km2,971/km2,38.8890°N 94.6906°W
129,Knoxville, Tennessee,"186,239","178,874",255.1 km2,730/km2,35.9707°N 83.9493°W
130,Port St. Lucie, Florida,"185,132","164,603",307.9 km2,601/km2,27.2806°N 80.3883°W
131,Worcester, Massachusetts,"184,508","181,045",96.9 km2,"1,905/km2",42.2695°N 71.8078°W
132,Brownsville, Texas,"183,823","175,023",343.2 km2,536/km2,25.9991°N 97.4550°W
133,Tempe, Arizona,"182,498","161,719",103.6 km2,"1,761/km2",33.3884°N 111.9318°W
134,Santa Clarita, California,"181,972","176,320",136.8 km2,"1,331/km2",34.4030°N 118.5042°W
135,Newport News[16], Virginia,"181,825","180,719",179.0 km2,"1,016/km2",37.0762°N 76.5220°W
136,Cape Coral, Florida,"179,804","154,305",273.5 km2,658/km2,26.6432°N 81.9974°W
137,Providence, Rhode Island,"179,219","178,042",47.7 km2,"3,760/km2",41.8231°N 71.4188°W
138,Fort Lauderdale, Florida,"178,752","165,521",89.6 km2,"1,995/km2",26.1412°N 80.1467°W
139,Chattanooga, Tennessee,"177,571","167,674",370.6 km2,479/km2,35.0660°N 85.2484°W
140,Rancho Cucamonga, California,"176,534","165,269",103.6 km2,"1,704/km2",34.1233°N 117.5642°W
141,Oceanside, California,"175,464","167,086",107.0 km2,"1,641/km2",33.2245°N 117.3062°W
142,Santa Rosa, California,"175,155","167,815",107.0 km2,"1,637/km2",38.4468°N 122.7061°W
143,Garden Grove, California,"174,858","170,883",46.6 km2,"3,751/km2",33.7788°N 117.9605°W
144,Vancouver, Washington,"174,826","161,791",121.5 km2,"1,439/km2",45.6349°N 122.5957°W
145,Sioux Falls, South Dakota,"174,360","153,888",195.3 km2,893/km2,43.5383°N 96.7320°W
146,Ontario, California,"173,212","163,924",129.2 km2,"1,340/km2",34.0394°N 117.6042°W
147,McKinney, Texas,"172,298","131,117",163.2 km2,"1,056/km2",33.1985°N 96.6680°W
148,Elk Grove, California,"169,743","153,015",109.3 km2,"1,553/km2",38.4146°N 121.3850°W
149,Jackson, Mississippi,"169,148","173,514",287.5 km2,588/km2,32.3158°N 90.2128°W
150,Pembroke Pines, Florida,"168,587","154,019",85.5 km2,"1,973/km2",26.0210°N 80.3404°W
151,Salem, Oregon,"167,419","154,637",125.9 km2,"1,330/km2",44.9237°N 123.0232°W
152,Springfield, Missouri,"167,319","159,498",213.2 km2,785/km2,37.1942°N 93.2913°W
153,Corona, California,"166,785","152,374",102.3 km2,"1,630/km2",33.8620°N 117.5655°W
154,Eugene, Oregon,"166,575","156,185",114.2 km2,"1,458/km2",44.0567°N 123.1162°W
155,Fort Collins, Colorado,"164,207","143,986",144.5 km2,"1,136/km2",40.5482°N 105.0648°W
156,Peoria, Arizona,"164,173","154,065",455.1 km2,361/km2,33.7862°N 112.3080°W
157,Frisco, Texas,"163,656","116,989",175.3 km2,933/km2,33.1554°N 96.8226°W
